the: national 0.5
the: green 0.5
the, national: green 1.0
the, national, green: tribunal1 0.25
the, national, green: tribunal2 0.25
the, national, green: tribunal3 0.25
national, green, tribunal1: ngt 1.0
green, tribunal1, ngt: on 1.0
tribunal1, ngt, on: thursday 1.0
ngt, on, thursday: granted 1.0
on, thursday, granted: vedanta1 0.25
on, thursday, granted: vedanta2 0.25
on, thursday, granted: vedanta3 0.25
thursday, granted, vedanta1: limited 1.0
granted, vedanta1, limited: access 1.0
vedanta1, limited, access: to 1.0
limited, access, to: its 1.0
access, to, its: administrative1 0.25
access, to, its: administrative2 0.25
access, to, its: administrative3 0.25
to, its, administrative1: section 1.0
its, administrative1, section: of 1.0
administrative1, section, of: the 1.0
section, of, the: sterlite1 0.25
section, of, the: sterlite2 0.25
section, of, the: sterlite3 0.25
of, the, sterlite1: copper 1.0
the, sterlite1, copper: plant 1.0
sterlite1, copper, plant: in 1.0
copper, plant, in: tuticorin 1.0
plant, in, tuticorin: $ 1.0
however: the 1.0
however, the: green 1.0
however, the, green: panel1 0.25
however, the, green: panel2 0.25
however, the, green: panel3 0.25
the, green, panel1: said 0.5
the, green, panel1: was 0.5
green, panel1, said: that 1.0
panel1, said, that: production 1.0
said, that, production: process2 0.5
said, that, production: process3 0.25
said, that, production: process4 0.25
that, production, process2: will 1.0
production, process2, will: continue 1.0
process2, will, continue: to 1.0
will, continue, to: remain 1.0
continue, to, remain: shut 1.0
to, remain, shut: $ 1.0
a: bench 1.0
a, bench: headed 1.0
a, bench, headed: by 1.0
bench, headed, by: ngt1 0.25
bench, headed, by: ngt2 0.25
bench, headed, by: ngt3 0.25
headed, by, ngt1: chairperson 1.0
by, ngt1, chairperson: adarsh 1.0
ngt1, chairperson, adarsh: kumar 1.0
chairperson, adarsh, kumar: goel 1.0
adarsh, kumar, goel: further 1.0
kumar, goel, further: directed 1.0
goel, further, directed: the 1.0
further, directed, the: tamil 1.0
directed, the, tamil: nadu 1.0
the, tamil, nadu: pollution 1.0
tamil, nadu, pollution: control 1.0
nadu, pollution, control: board1 0.25
nadu, pollution, control: board2 0.25
nadu, pollution, control: board3 0.25
pollution, control, board1: tnpcb 1.0
control, board1, tnpcb: to 1.0
board1, tnpcb, to: submit 1.0
tnpcb, to, submit: analysis 1.0
to, submit, analysis: on 1.0
submit, analysis, on: baseline 1.0
analysis, on, baseline: pollution 1.0
on, baseline, pollution: data 1.0
baseline, pollution, data: of 1.0
pollution, data, of: sipcot 1.0
data, of, sipcot: industrial 1.0
of, sipcot, industrial: area1 0.25
of, sipcot, industrial: area2 0.25
of, sipcot, industrial: area3 0.25
sipcot, industrial, area1: $ 1.0
the, green: panel1 0.25
the, green: panel2 0.25
the, green: panel3 0.25
green, panel1, was: hearing 1.0
panel1, was, hearing: a 1.0
was, hearing, a: plea 1.0
hearing, a, plea: moved 1.0
a, plea, moved: by 1.0
plea, moved, by: vedanta1 0.25
plea, moved, by: vedanta2 0.25
plea, moved, by: vedanta3 0.25
moved, by, vedanta1: where 1.0
by, vedanta1, where: the 1.0
vedanta1, where, the: mining 1.0
where, the, mining: major 1.0
the, mining, major: had 1.0
mining, major, had: challenged 1.0
major, had, challenged: the 1.0
had, challenged, the: state 1.0
challenged, the, state: governments 1.0
the, state, governments: order 0.5
the, state, governments: submission 0.5
state, governments, order: of 1.0
governments, order, of: closure 1.0
order, of, closure: of 1.0
of, closure, of: the 1.0
closure, of, the: copper 1.0
of, the, copper: plant 1.0
the, copper, plant: also 1.0
copper, plant, also: read 1.0
plant, also, read: the 1.0
also, read, the: hindu 1.0
read, the, hindu: explains 1.0
the, hindu, explains: sterlite1 0.25
the, hindu, explains: sterlite2 0.25
the, hindu, explains: sterlite3 0.25
hindu, explains, sterlite1: protests 1.0
explains, sterlite1, protests: the 1.0
sterlite1, protests, the: tribunal1 1.0
protests, the, tribunal1: also 1.0
the, tribunal1, also: rejected 1.0
tribunal1, also, rejected: the 1.0
also, rejected, the: state 1.0
rejected, the, state: governments 1.0
state, governments, submission: challenging 1.0
governments, submission, challenging: the 1.0
submission, challenging, the: maintainability 1.0
challenging, the, maintainability: of 1.0
the, maintainability, of: vedanta1 0.25
the, maintainability, of: vedanta2 0.25
the, maintainability, of: vedanta3 0.25
maintainability, of, vedanta1: plea 1.0
of, vedanta1, plea: $ 1.0
following: major 1.0
following, major: protests 1.0
following, major, protests: against 1.0
major, protests, against: the 1.0
protests, against, the: operation 1.0
against, the, operation: of 1.0
the, operation, of: the 1.0
operation, of, the: plant 1.0
of, the, plant: in 1.0
the, plant, in: may 1.0
plant, in, may: this 1.0
in, may, this: year 1.0
may, this, year: the 1.0
this, year, the: state 1.0
year, the, state: government 1.0
the, state, government: had 1.0
state, government, had: issued 1.0
government, had, issued: closure 1.0
had, issued, closure: order 1.0
issued, closure, order: against 1.0
closure, order, against: sterlite1 0.25
closure, order, against: sterlite2 0.25
closure, order, against: sterlite3 0.25
order, against, sterlite1: $ 1.0
national, green, tribunal2: ngt 1.0
green, tribunal2, ngt: on 1.0
tribunal2, ngt, on: thursday 1.0
thursday, granted, vedanta2: limited 1.0
granted, vedanta2, limited: access 1.0
vedanta2, limited, access: to 1.0
to, its, administrative2: section 1.0
its, administrative2, section: of 1.0
administrative2, section, of: the 1.0
of, the, sterlite2: copper2 1.0
the, sterlite2, copper2: plant 1.0
sterlite2, copper2, plant: in 1.0
copper2, plant, in: tuticorin 1.0
the, green, panel2: said 0.5
the, green, panel2: was 0.5
green, panel2, said: that 1.0
panel2, said, that: production 1.0
headed, by, ngt2: chairperson 1.0
by, ngt2, chairperson: adarsh 1.0
ngt2, chairperson, adarsh: kumar 1.0
pollution, control, board2: tnpcb 1.0
control, board2, tnpcb: to 1.0
board2, tnpcb, to: submit 1.0
sipcot, industrial, area2: $ 1.0
green, panel2, was: hearing 1.0
panel2, was, hearing: a 1.0
moved, by, vedanta2: where 1.0
by, vedanta2, where: the 1.0
vedanta2, where, the: mining 1.0
hindu, explains, sterlite2: protests 1.0
explains, sterlite2, protests: the 1.0
sterlite2, protests, the: tribunal2 1.0
protests, the, tribunal2: also 1.0
the, tribunal2, also: rejected 1.0
tribunal2, also, rejected: the 1.0
maintainability, of, vedanta2: plea 1.0
of, vedanta2, plea: $ 1.0
order, against, sterlite2: $ 1.0
national, green, tribunal3: ngt 1.0
green, tribunal3, ngt: on 1.0
tribunal3, ngt, on: thursday 1.0
thursday, granted, vedanta3: limited3 1.0
granted, vedanta3, limited3: access 1.0
vedanta3, limited3, access: to 1.0
limited3, access, to: its 1.0
to, its, administrative3: section 1.0
its, administrative3, section: of 1.0
administrative3, section, of: the 1.0
of, the, sterlite3: copper3 1.0
the, sterlite3, copper3: plant 1.0
sterlite3, copper3, plant: in 1.0
copper3, plant, in: tuticorin 1.0
the, green, panel3: said 0.5
the, green, panel3: was 0.5
green, panel3, said: that 1.0
panel3, said, that: production 1.0
that, production, process3: will 1.0
production, process3, will: continue 1.0
process3, will, continue: to 1.0
headed, by, ngt3: chairperson 1.0
by, ngt3, chairperson: adarsh 1.0
ngt3, chairperson, adarsh: kumar 1.0
pollution, control, board3: tnpcb 1.0
control, board3, tnpcb: to 1.0
board3, tnpcb, to: submit 1.0
sipcot, industrial, area3: $ 1.0
green, panel3, was: hearing 1.0
panel3, was, hearing: a 1.0
moved, by, vedanta3: where 1.0
by, vedanta3, where: the 1.0
vedanta3, where, the: mining 1.0
hindu, explains, sterlite3: protests 1.0
explains, sterlite3, protests: the 1.0
sterlite3, protests, the: tribunal3 1.0
protests, the, tribunal3: also 1.0
the, tribunal3, also: rejected 1.0
